ID;job_ID;definition_job_name;definition_name;value
3a89dfec-59f9-4a91-90fe-3c7ca7407103;3a89dfec-59f9-4a91-90fe-3c7ca7407103;JOB_1;A;ABC
3b89dfec-59f9-4a91-90fe-3c7ca7407103;3a89dfec-59f9-4a91-90fe-3c7ca7407103;JOB_1;B;11
3c89dfec-59f9-4a91-90fe-3c7ca7407103;3a89dfec-59f9-4a91-90fe-3c7ca7407103;JOB_1;C;"true"
3d89dfec-59f9-4a91-90fe-3c7ca7407103;3a89dfec-59f9-4a91-90fe-3c7ca7407103;JOB_1;D;12
3e89dfec-59f9-4a91-90fe-3c7ca7407103;3a89dfec-59f9-4a91-90fe-3c7ca7407103;JOB_1;E;2025-01-02T00:00:00Z
4a89dfec-59f9-4a91-90fe-3c7ca7407103;4a89dfec-59f9-4a91-90fe-3c7ca7407103;JOB_2;A;ABC
4b89dfec-59f9-4a91-90fe-3c7ca7407103;4a89dfec-59f9-4a91-90fe-3c7ca7407103;JOB_2;B;13
4c89dfec-59f9-4a91-90fe-3c7ca7407103;4a89dfec-59f9-4a91-90fe-3c7ca7407103;JOB_2;C;"false"
4d89dfec-59f9-4a91-90fe-3c7ca7407103;4a89dfec-59f9-4a91-90fe-3c7ca7407103;JOB_2;D;14
4e89dfec-59f9-4a91-90fe-3c7ca7407103;4a89dfec-59f9-4a91-90fe-3c7ca7407103;JOB_2;E;2025-01-02T00:00:00Z
5a89dfec-59f9-4a91-90fe-3c7ca7407103;5a89dfec-59f9-4a91-90fe-3c7ca7407103;JOB_3;A;ABC
5b89dfec-59f9-4a91-90fe-3c7ca7407103;5a89dfec-59f9-4a91-90fe-3c7ca7407103;JOB_3;B;13
5c89dfec-59f9-4a91-90fe-3c7ca7407103;5a89dfec-59f9-4a91-90fe-3c7ca7407103;JOB_3;C;"false"
5d89dfec-59f9-4a91-90fe-3c7ca7407103;5a89dfec-59f9-4a91-90fe-3c7ca7407103;JOB_3;D;15
5e89dfec-59f9-4a91-90fe-3c7ca7407103;5a89dfec-59f9-4a91-90fe-3c7ca7407103;JOB_3;E;2025-01-02T00:00:00Z
